section-result-title,section-result-details,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-location,section-result-description,section-result-info,e0HygkTYhQy__attribute-content,section-result-info 2
Ngohiong Express,Restaurant,3.8,(9),,J Lorente,Fast-food fried chicken chain,Open until 10:00 pm,Delivery,Temporarily closed
Grillers Steak House,Steak,4.2,(140),₱₱,"TP building, A. S. Fortuna St",Fast-food chain with Filipino flavors,Reopens at 6:00 pm,Delivery,Closed
Doming's Ngohiong,Restaurant,4.2,(103),₱,25 Fairlane Village Rd,Fast-food chain with Filipino flavors,Opens at 8:00 am,Delivery,Closed
I Love Bucket Shrimps - Mactan,Seafood,4.3,(207),₱₱,"Cebu Yacht Club, M.L. Quezon National Highway",Quick stop for familiar Chinese fare,Open until 12:00 am,Delivery,
Tokyo Joe,Japanese,4.2,(6),,"3rd Level, Sunrise Wing, SM Foodcourt, SM Seaside City Cebu, Cebu South Coastal Rd",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Sinjeon Topokki,Restaurant,4.2,(54),,Skyrise 1,Fast-food chain with Filipino flavors,Open until 2:00 am,Takeaway,Temporarily closed
Papsy's BBQ,Restaurant,3.7,(94),,Gaisano Mactan Parking,Fast-food fried chicken chain,Open until 9:00 pm,Delivery,
Landers Super Store,Restaurant,3.9,(7),,Cardinal Rosales Ave,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery · Takeaway,
Tokyo Tokyo Philippines,Japanese,2.6,(15),₱₱,"G/F, SM City Cebu, Juan Luna Avenue",Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery · Takeaway,Temporarily closed
PAPSY'S BBQ narra uno,Restaurant,4.2,(261),₱₱,Gov. M. Cuenco Ave,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery · Takeaway,
Jollibee,Fast Food,4.0,(272),₱,3 Cebu S Rd,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
TONY'S FAST FOOD & CATERING SERVIVES,Fast Food,4.1,(28),,28,Fast-food chain with Filipino flavors,Open until 5:00 pm,Delivery,
Cebu Fastfood,Fast Food,3.9,(8),,,Fast-food fried chicken chain,Open until 8:00 pm,Delivery,Temporarily closed
Triple V Express Fastfood,Fast Food,4.4,(20),,,Fast-food chain with Filipino flavors,Open until 7:00 pm,Delivery · Takeaway,
McDonald's,Fast Food,4.0,(57),₱,Cebu City,Iconic fast-food burger & fries chain,Open until 8:00 pm,Delivery,Closed
Abeth's Fastfood,Fast Food,3.0,(2),,,Iconic fast-food burger & fries chain,Open until 5:00 pm,Delivery,Temporarily closed
ESKINA Fastfood,Fast Food,4.1,(14),,Cebu City,Chain eatery for Filipino fried chicken,Closing soon: 4:30 pm,Delivery,
Orange Brutus,Fast Food,2.2,(6),,Cebu City,Korean fried chicken specialist,Open until 8:30 pm,Delivery · Takeaway,
Burger King,Fast Food,4.2,(713),₱₱,Cebu City,Fast-food chain for grilled burgers,Open until 5:00 pm,Takeaway,Temporarily closed
Jollibee,Fast Food,3.6,(31),₱,Cebu City,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
Chrisdon Restaurant,Fast Food,4.5,(2),,Cebu City,Fast-food fried chicken chain,Open until 10:00 pm,Delivery,Temporarily closed
Orange Brutus,Fast Food,4.0,(6),,Cebu City,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Closed
JohnChrisTyl Fastfood,Restaurant,5.0,(1),,Cebu City,Fast-food chain with Filipino flavors,Opens at 6:00 am,Delivery,Closed
"Remros Food, Inc.",Fast Food,4.4,(55),,Mandaue City,Quick stop for familiar Chinese fare,Open until 11:00 pm,Delivery,
Jollibee,Fast Food,4.0,(128),₱,Cebu City,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
M & J Fastfood,Takeout Restaurant,4.0,(267),,Mandaue City,Fast-food chain with Filipino flavors,Opens at 5:00 pm,Takeaway,Closed
Ahbwu Fastfood,Restaurant,4.2,(250),,Cebu City,Fast-food fried chicken chain,Open until 9:00 pm,Delivery · Takeaway,Closed today
Bon Chon Chicken,Fast Food,4.1,(15),₱₱,"Mabolo, Cebu City",Korean fried chicken specialist,Open until 9:00 pm,Delivery · Takeaway,
Norway Fastfood,Restaurant,4.1,(35),,Cebu City,Iconic fast-food burger & fries chain,Opens at 5:00 pm,Delivery · Takeaway,Closed
Chowking,Fast Food,3.9,(21),₱,Cebu City,Fast-food chain for chicken sandwiches,Opens at 6:00 am,Delivery,Temporarily closed
Cozy Corner Fastfood Inn,Fast Food,3.9,(12),,Guihulngan City,Fast-food chain for Mexican classics,Open until 7:30 pm,Delivery · Takeaway,Closed
Prito Kings,Fast Food,2.0,(1),,Cebu City,Fast-food chain for Mexican classics,Open until 5:00 pm,Delivery · Takeaway,
Jollibee,Fast Food,4.2,(11),₱,Cebu City,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
Lola Inda Fast Food,Fast Food,1.0,(1),,Cebu City,Iconic fast-food burger & fries chain,Open until 7:30 pm,Delivery,
Jollibee,Fast Food,4.2,(429),₱,,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery · Takeaway,Closed
McDonald's,Fast Food,4.1,(477),₱,Cebu City,Iconic fast-food burger & fries chain,Open until 8:00 pm,Delivery · Takeaway,Temporarily closed
Jollibee,Fast Food,4.2,(143),₱,Cebu City,Fast-food chain with Filipino flavors,Open until 12:00 am,Delivery,
Nonie & Villa's fastfood & catering services,Restaurant,5.0,(2),,Anda,Korean fried chicken specialist,Open until 8:30 pm,Delivery · Takeaway,
McDonald's,Fast Food,3.8,(403),₱,Moalboal,Iconic fast-food burger & fries chain,Open until 9:00 pm,Takeaway,Temporarily closed
Jollibee,Fast Food,4.2,(361),₱,Talisay,Fast-food chain with Filipino flavors,Open until 10:00 pm,Takeaway,
McDonald's,Fast Food,4.1,(360),₱,Cebu City,Iconic fast-food burger & fries chain,Open until 10:00 pm,Delivery · Takeaway,Temporarily closed
Jollibee,Fast Food,4.1,(599),₱,City of Naga,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Closed
Kanadara Restaurant,Fast Food,3.7,(202),,Cebu City,Iconic fast-food burger & fries chain,Opens at 6:00 am,Delivery · Takeaway,Closed
Orange Brutus,Fast Food,4.0,(5),,Cebu City,Iconic fast-food burger & fries chain,Open until 8:00 pm,Delivery,
KFC,Fast Food,4.2,(95),₱,Cebu City,Fast-food fried chicken chain,Open until 10:00 pm,Delivery,Closed
Jollibee,Fast Food,4.2,(84),₱,,Iconic fast-food burger & fries chain,Opens at 5:00 pm,Delivery,Closed
Chowking,Fast Food,3.2,(13),₱,Lapu‑Lapu,Fast-food fried chicken chain,Open until 7:00 pm,Delivery · Takeaway,Closed today
Jollibee,Fast Food,3.6,(53),₱,Lapu-Lapu City,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery · Takeaway,
S Food Star,Fast Food,5.0,(1),,Argao,Iconic fast-food burger & fries chain,Opens at 5:00 pm,Delivery · Takeaway,Closed
Jollibee,Fast Food,4.1,(686),₱,Cebu City,Fast-food chain with Filipino flavors,Opens at 6:00 am,Delivery,Temporarily closed
Chowabungga,Fast Food,4.4,(230),,Cebu City,Fast-food chain for grilled burgers,Opens at 5:00 pm,Delivery · Takeaway,Closed
Jollibee,Fast Food,4.1,(350),₱,Mandaue City,Fast-food chain with Filipino flavors,Open until 5:00 pm,Delivery,Temporarily closed
Jollibee,Fast Food,3.9,(113),₱,Cebu City,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Temporarily closed
Jollibee,Fast Food,4.2,(659),₱,Mandaue City,Fast-food chain with Filipino flavors,Open until 6:00 pm,Delivery,
Jollibee A.S. Fortuna,Fast Food,4.2,(204),₱,Mandaue City,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,Closed
Sinangag Station,Fast Food,4.0,(104),,Cebu City,Iconic fast-food burger & fries chain,Open until 8:00 pm,Delivery · Takeaway,Temporarily closed
Jollibee,Fast Food,4.0,(81),₱,Toledo City,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,4.1,(200),₱,Cebu City,Fast-food chain with Filipino flavors,Open until 8:30 pm,Delivery · Takeaway,
Jollibee,Fast Food,3.8,(111),₱,Cebu City,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
Orange Brutus,Fast Food,3.8,(50),,Cebu City,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,4.0,(799),₱,Cebu City,Fast-food chain with Filipino flavors,Open until 9:00 pm,Takeaway,Temporarily closed
Jollibee,Fast Food,4.2,(257),₱,,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Jollibee,Fast Food,3.7,(27),₱,Cebu City,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Jollibee,Fast Food,4.0,(215),₱,,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,4.1,(181),₱,Mandaue City,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Closed
Mang Inasal,Fast Food,4.1,(141),₱,Mandaue City,Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery,Closed
McDonald's,Fast Food,4.1,(276),₱,Talisay,Iconic fast-food burger & fries chain,Open until 11:30 pm,Delivery · Takeaway,Closed today
Jollibee,Fast Food,4.1,(300),₱,Consolacion,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery · Takeaway,
Jollibee,Fast Food,4.2,(170),₱,Lapu-Lapu City,Fast-food chain with Filipino flavors,Open until 7:30 pm,Delivery,Closed
Mang Inasal,Fast Food,3.8,(31),₱,Cebu City,Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,Temporarily closed
Mang Inasal,Fast Food,4.4,(10),,Lapu-Lapu City,Quick stop for familiar Chinese fare,Open until 6:00 pm,Delivery · Takeaway,Closed
Orange Brutus,Fast Food,3.7,(29),,,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
Cebu's Original Lechon Belly,Fast Food,4.2,(117),,Cebu City,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery · Takeaway,Temporarily closed
Mang Inasal,Fast Food,4.0,(40),₱,,Fast-food chain with Filipino flavors,Open until 6:00 pm,Delivery,
Jollibee Escario DT,Fast Food,4.3,(200),₱,Cebu City,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,Closed
Jollibee - Basak Mactan,Fast Food,4.1,(493),₱,Lapu-Lapu City,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
Cebu's Original Lechon Belly,Fast Food,4.0,(78),,Mandaue City,Fast-food chain with Filipino flavors,Open until 11:30 pm,Delivery · Takeaway,
Jollibee,Fast Food,4.2,(411),₱,Cebu City,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery · Takeaway,
Chowking,Fast Food,2.8,(10),,Cebu City,Quick stop for familiar Chinese fare,Open until 10:00 pm,Delivery,Temporarily closed
Chowking,Fast Food,3.9,(215),₱,,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Andok's,Fast Food,3.3,(4),₱,Talisay,Fast-food chain with Filipino flavors,Open until 9:00 pm,Takeaway,Temporarily closed
Mang Inasal,Fast Food,3.5,(56),₱,Cebu City,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Chowking,Fast Food,3.1,(25),₱,Cebu City,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
Mang Inasal,Fast Food,3.9,(15),₱,Lapu-Lapu City,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
KFC,Fast Food,3.8,(36),,Cebu City,Fast-food fried chicken chain,Open until 9:00 pm,Delivery,Closed
Chowking,Fast Food,3.7,(30),₱,Cebu City,Quick stop for familiar Chinese fare,Open until 7:00 pm,Delivery,Closed
Army Navy Burger + Burrito,Fast Food,4.2,(174),₱₱,Cebu City,Iconic fast-food burger & fries chain,Open until 11:30 pm,Delivery · Takeaway,Closed today
Jollibee Robinsons Cybergate,Fast Food,4.2,(40),₱,Cebu City,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery · Takeaway,
Jollibee Bulacao,Fast Food,4.1,(565),₱,Cebu City,Fast-food chain with Filipino flavors,Open until 7:30 pm,Delivery · Takeaway,Closed
Jollibee Guadalupe,Fast Food,4.1,(688),₱,Cebu City,Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,Temporarily closed
Andok's,Fast Food,3.8,(130),₱,Cebu City,Quick stop for familiar Chinese fare,Open until 11:00 pm,Delivery · Takeaway,Closed
Hugot Fastfood,Diner,3.7,(29),,Cebu City,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
Cebu's Original Lechon Belly,Fast Food,4.2,(117),,"The Maxwell Hotel, N Escario St",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery · Takeaway,Temporarily closed
Mang Inasal,Fast Food,4.0,(40),₱,,Fast-food chain with Filipino flavors,Open until 6:00 pm,Delivery,
Jollibee Escario DT,Fast Food,4.3,(200),₱,N Escario St,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,Closed
DG's Fastfood,Filipino,4.3,(3),,Sanciangko St,Fast-food chain with Filipino flavors,Open until 11:30 pm,Delivery,Temporarily closed
Arlene's Fastfood,Restaurant,4.0,(78),,Imus Ave,Fast-food chain with Filipino flavors,Open until 11:30 pm,Delivery · Takeaway,
Noelle Marie's Restaurant,Fast Food,4.2,(411),,"79, Don Gil Garcia Street, Capitol Site",Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery · Takeaway,
Lotching's Chinese Ngohiong,Fast Food,4.5,(11),,Tojong St,Quick stop for familiar Chinese fare,Open until 7:30 pm,Delivery,Temporarily closed
"Mary's Food formerly known as ""Kam n' Kat Fastfood""",Filipino,3.9,(215),,Sanciangko St,Fast-food chain with Filipino flavors,Open until 8:00 pm,Takeaway,
McDonald's,Fast Food,4.1,(215),₱,Colon St,Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery,Temporarily closed
Zhar Fastfood And Catering Services,Restaurant,3.5,(56),,V Rama Ave,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Silogan ni Gian,Fast Food,4.0,(193),,Junquera St,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
McDonald's,Fast Food,4.3,(46),₱,Basak-Marigondon Rd,Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery,
McDonald's,Fast Food,4.1,(534),₱,Cebu N Rd,Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery · Takeaway,Closed
McDonald's,Fast Food,3.9,(418),₱,"The Walk, Abad St",Iconic fast-food burger & fries chain,Open until 7:00 pm,Delivery,Closed
Burger King,Fast Food,4.1,(61),₱₱,"Cebu SM Seaside, Lower Ground Floor, SM Seaside City Cebu, South Coastal Road corner Mambaling Extension, South Road Properties",Fast-food chain for grilled burgers,Open until 11:30 pm,Delivery · Takeaway,Closed today
McDonald's,Fast Food,3.7,(202),₱,"Cebu IT Tower, 1,Arch, G/F Archbishop Reyes Ave",Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery · Takeaway,
McDonald's,Fast Food,4.1,(186),₱,V.Albano,Iconic fast-food burger & fries chain,Open until 7:30 pm,Delivery,Closed
McDonald's,Fast Food,4.0,(576),₱,"Hi-Way, M.L. Quezon National Highway",Iconic fast-food burger & fries chain,Open until 8:00 pm,Delivery,Temporarily closed
Chowking,Fast Food,4.2,(80),₱,"Ground Floor, Elizabeth Mall, Leon Kilat St cor. South SuperHighway",Quick stop for familiar Chinese fare,Open until 11:00 pm,Delivery · Takeaway,Temporarily closed
Shevan Fast Food,Fast Food,4.5,(2),,122 Junquera Ext,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Temporarily closed
Aley's Fastfood,Takeout Restaurant,4.2,(117),,F.F. Cruz St,Fast-food chain with Filipino flavors,Open until 8:00 pm,Takeaway,Temporarily closed
Sherly Ann Fastfood,Takeout Restaurant,2.5,(2),,Nacua Compound,Fast-food chain with Filipino flavors,Open until 10:00 pm,Takeaway,
McDonald's,Fast Food,4.1,(314),₱,P. Burgos St,Iconic fast-food burger & fries chain,Open until 11:00 pm,Delivery,Closed
DG's Fastfood,Filipino,4.3,(3),,Sanciangko St,Fast-food chain with Filipino flavors,Open until 11:30 pm,Delivery,Temporarily closed
Arlene's Fastfood,Restaurant,4.0,(78),,Imus Ave,Fast-food chain with Filipino flavors,Open until 11:30 pm,Delivery · Takeaway,
Noelle Marie's Restaurant,Fast Food,4.2,(411),,"79, Don Gil Garcia Street, Capitol Site",Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery · Takeaway,
Lotching's Chinese Ngohiong,Fast Food,4.5,(11),,Tojong St,Quick stop for familiar Chinese fare,Open until 7:30 pm,Delivery,Temporarily closed
"Mary's Food formerly known as ""Kam n' Kat Fastfood""",Filipino,3.9,(215),,Sanciangko St,Fast-food chain with Filipino flavors,Open until 8:00 pm,Takeaway,
McDonald's,Fast Food,4.1,(215),₱,Colon St,Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery,Temporarily closed
Zhar Fastfood And Catering Services,Restaurant,3.5,(56),,V Rama Ave,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Silogan ni Gian,Fast Food,4.0,(193),,Junquera St,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
McDonald's,Fast Food,4.3,(46),₱,Basak-Marigondon Rd,Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery,
McDonald's,Fast Food,4.1,(534),₱,Cebu N Rd,Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery · Takeaway,Closed
McDonald's,Fast Food,3.9,(418),₱,"The Walk, Abad St",Iconic fast-food burger & fries chain,Open until 7:00 pm,Delivery,Closed
Burger King,Fast Food,4.1,(61),₱₱,"Cebu SM Seaside, Lower Ground Floor, SM Seaside City Cebu, South Coastal Road corner Mambaling Extension, South Road Properties",Fast-food chain for grilled burgers,Open until 11:30 pm,Delivery · Takeaway,Closed today
McDonald's,Fast Food,3.7,(202),₱,"Cebu IT Tower, 1,Arch, G/F Archbishop Reyes Ave",Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery · Takeaway,
McDonald's,Fast Food,4.1,(186),₱,V.Albano,Iconic fast-food burger & fries chain,Open until 7:30 pm,Delivery,Closed
McDonald's,Fast Food,4.0,(576),₱,"Hi-Way, M.L. Quezon National Highway",Iconic fast-food burger & fries chain,Open until 8:00 pm,Delivery,Temporarily closed
Chowking,Fast Food,4.2,(80),₱,"Ground Floor, Elizabeth Mall, Leon Kilat St cor. South SuperHighway",Quick stop for familiar Chinese fare,Open until 11:00 pm,Delivery · Takeaway,Temporarily closed
Shevan Fast Food,Fast Food,4.5,(2),,122 Junquera Ext,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Temporarily closed
Chowking,Fast Food,3.2,(13),₱,"G/F Gaisano Grand Mall of Mactan, Basak corner Agus Road, Lapu Lapu City Cebu",Iconic fast-food burger & fries chain,Open until 7:00 pm,Delivery · Takeaway,Temporarily closed
McDonald's,Fast Food,4.1,(505),₱,"EMSU Building, 24 Osmeña Blvd",Iconic fast-food burger & fries chain,Open until 10:00 pm,Delivery,
A La King Cafe,Fast Food,4.0,(277),,D. Jakosalem Street,Iconic fast-food burger & fries chain,Open until 11:00 pm,Delivery · Takeaway,Closed
Jollibee,Fast Food,3.6,(53),₱,Aéroport international de Mactan-Cebu,Fast-food chain with Filipino flavors,Open until 11:30 pm,Delivery,Temporarily closed
Jollibee,Fast Food,4.1,(686),₱,"Hanson, 231 Dionisio Jakosalem St",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,
Chowabungga,Fast Food,4.4,(230),,"GF i1 Building, Jose Maria del Mar St",Fast-food chain for grilled burgers,Opens at 5:00 pm,Delivery · Takeaway,Closed
Jollibee,Fast Food,4.1,(350),₱,M. C. Briones St,Fast-food chain with Filipino flavors,Open until 7:30 pm,Delivery,Temporarily closed
Burger King,Fast Food,4.1,(261),₱₱,"Cebu Business Park, Cebu Ayala, Level 4, Ayala Center, Archbishop Reyes Ave",Fast-food chain for grilled burgers,Open until 9:00 pm,Delivery,
Chowking,Fast Food,3.4,(92),₱,"solara, G/F, General Maxilom Ave",Quick stop for familiar Chinese fare,Open until 6:00 pm,Delivery,Temporarily closed
Jollibee,Fast Food,3.8,(210),₱,"L1, SKYRISE Beta, Samar Loop",Fast-food chain with Filipino flavors,Open until 7:30 pm,Delivery,Closed
Chowking,Fast Food,3.2,(6),₱,3F,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery · Takeaway,Temporarily closed
Jollibee,Fast Food,3.8,(192),₱,Island Central Mall,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,4.1,(151),₱,Ouano Avenue,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Closed
Jollibee P. Del Rosario (USC),Fast Food,4.2,(583),₱,"P. Del Rosario St., corner Pelaez, R. Landon Ext",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Jollibee,Fast Food,4.0,(151),₱,"Grand Mall, Basak-Sisi-Agus Rd",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed today
Jollibee SM L3,Fast Food,4.1,(178),₱,"114 Third Level, SM City North Reclamation Area, Juan Luna Extension, Kaohsiung St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,4.4,(157),₱,"E-Mall, N. Bacalso Ave Leon Kilat St",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,Closed
Jollibee,Fast Food,4.2,(148),₱,"Gaisano Fiesta Mall, South National Highway",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery · Takeaway,Temporarily closed
Jollibee,Fast Food,4.0,(471),₱,M.L. Quezon National Highway,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,Temporarily closed
Jollibee,Fast Food,4.2,(433),₱,"Park Mall, Ouano Avenue",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery · Takeaway,Temporarily closed
KFC,Fast Food,4.3,(3),₱,SM,Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery · Takeaway,Temporarily closed
McDonald's,Fast Food,4.0,(295),₱,"Gaisano Fiesta Mall, Cebu S Rd",Iconic fast-food burger & fries chain,Open until 11:30 pm,Delivery · Takeaway,
Jollibee,Fast Food,4.2,(165),₱,Ouano Avenue,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,Closed
Jollibee,Fast Food,4.0,(45),₱,Gen. Maxilom Ext,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
Chowking,Fast Food,3.9,(234),₱,"Chatswood Residences, A. S. Fortuna St",Fast-food chain with Filipino flavors,Open until 7:00 pm,Delivery,
Chowking,Fast Food,3.7,(248),₱,V Rama Ave,Quick stop for familiar Chinese fare,Open until 6:00 pm,Delivery · Takeaway,Closed
Jollibee,Fast Food,3.9,(113),₱,"st.,, Across, Basilica del Sto. Nino, Osmeña Boulevard, Osmeña Blvd",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Temporarily closed
Jollibee,Fast Food,4.2,(659),₱,"National Highway, A. S. Fortuna St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee A.S. Fortuna,Fast Food,4.2,(204),₱,A. S. Fortuna St,Fast-food chain with Filipino flavors,Open until 6:00 pm,Delivery,Temporarily closed
Mang Inasal,Fast Food,4.1,(28),₱,"Ground Floor Metro Plaza, R. Macapagal Road, corner M. Barba Street, Poblacion",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,Closed
Sinangag Station,Fast Food,4.0,(104),,N Escario St,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery · Takeaway,Temporarily closed
Jollibee,Fast Food,4.1,(200),₱,"Super Metro, Natalio B. Bacalso Ave",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery · Takeaway,
Jollibee,Fast Food,3.8,(111),₱,"i2 Bldg, Jose Maria del Mar St",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Closed
Orange Brutus,Fast Food,3.8,(50),,3 Jose Maria del Mar St Cebu City 6000 Jose Maria del Mar St,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Jollibee,Fast Food,4.0,(799),₱,19 Gorordo Ave,Fast-food chain with Filipino flavors,Open until 9:00 pm,Takeaway,Closed today
Jollibee,Fast Food,4.2,(257),₱,,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,3.7,(27),₱,"138 Mall, Ground Floor, Colon St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Jollibee,Fast Food,4.1,(160),₱,A. Del Rosario St,Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,Temporarily closed
Jollibee,Fast Food,4.1,(181),₱,M. Logarta Ave,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,Temporarily closed
Mang Inasal,Fast Food,4.1,(141),₱,"Bakilid Ground Floor, J Centre Mall, 165 AS Fortuna Street, Bakilid, Mandaue City, Cebu, Philippines, A. S. Fortuna St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery · Takeaway,Temporarily closed
Army Navy Burger + Burrito,Fast Food,4.2,(174),₱₱,"Metro, W Geonzon St",Iconic fast-food burger & fries chain,Open until 11:30 pm,Delivery · Takeaway,Temporarily closed
Jollibee Robinsons Cybergate,Fast Food,4.2,(40),₱,"Robinsons Cybergate, 1st Floor, Don Gil Garcia St",Fast-food chain with Filipino flavors,Open until 11:30 pm,Delivery · Takeaway,
Jollibee Bulacao,Fast Food,4.1,(565),₱,Cebu S Rd,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery · Takeaway,Closed
Jollibee Guadalupe,Fast Food,4.1,(688),₱,R. Duterte St,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
Andok's,Fast Food,3.8,(130),₱,Gov. M. Cuenco Ave,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,
Hugot Fastfood,Diner,3.7,(29),,259 Tres de Abril St,Quick stop for familiar Chinese fare,Open until 9:00 pm,Delivery,Closed
MyJoy,Fast Food,3.8,(28),,10 Apitong St,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery · Takeaway,Temporarily closed
Jollibee,Fast Food,4.0,(272),₱,3 Cebu S Rd,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,4.1,(277),₱,"President Osmeña Blvd, Corner Arlington Pond St",Fast-food chain with Filipino flavors,Open until 6:00 pm,Delivery · Takeaway,Temporarily closed
Andok's,Fast Food,3.5,(6),₱,,Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,Closed
Jollibee,Fast Food,4.1,(119),₱,"ayala center cebu, 3rd Floor, Paseo Verde, Archbishop Reyes Ave",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Temporarily closed
Jollibee,Fast Food,3.8,(63),₱,Colon St,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,
BonChon,Fast Food,2.5,(4),₱₱,"Mactan Cebu International Airport Terminal, 2",Korean fried chicken specialist,Open until 11:00 pm,Delivery · Takeaway,Closed
Jollibee,Fast Food,3.6,(22),₱,"2nd Gaisano Country Mall, Gov. M. Cuenco Ave",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
